Day,Street Name,Latitude,Longitude,Violation Time,Zone,Parking Violation
4,Queens Blvd,40.7127672,-73.8275685,1947,119,1
2,38th Ave,40.749899,-73.868826,1915,116,1
4,160th St,40.7338809,-73.8078846,2014,122,1
5,W 31st St,40.7471998,-73.9875144,2152,132,1
2,Rockwood St,40.842033,-73.913494,2208,133,1
4,W 238th St,40.8889687,-73.9125474,2220,135,1
4,Amsterdam Ave,40.8467328,-73.9318876,2013,122,1
3,Broadway,40.892084,-73.8971095,2012,122,1
4,Jerome Ave,40.8446726,-73.9145136,2118,128,1
1,160th St,40.7338809,-73.8078846,2010,122,1
4,Sedgwick Ave,40.83076,-73.9319244,2104,127,1
3,W 142nd St,40.8181377,-73.9367533,2149,131,1
3,E 144th St,40.8122378,-73.9185283,2009,121,1
2,E 68th St,40.6199999,-73.9114888,2024,123,1
3,5th Ave,40.801971,-73.945508,2037,124,1
4,Schermerhorn St,40.6881687,-73.9839805,2002,121,1
4,E 10th St,40.6053075,-73.9625623,2208,133,1
3,University Ave,40.8469863,-73.9205513,2240,137,1
3,Riverside Dr,40.8424364,-73.9440228,2207,133,1
2,Halsey St,40.69607,-73.9050185,1851,114,1
3,E 172nd St,40.840197,-73.910094,2048,125,1
5,Barker Ave,40.863246,-73.869374,2038,124,1
4,Neill Ave,40.850178,-73.865221,2118,128,1
2,Gallatin Pl,40.6910332,-73.9865202,2013,122,1
5,7th Ave,40.7630704,-73.9820256,1905,115,1
3,4th Ave,40.7366387,-73.9890162,2057,126,1
3,Queens Blvd,40.7127672,-73.8275685,2004,121,1
3,E 87th St,40.648106,-73.918515,2113,128,1
4,W 145th St,40.8264439,-73.9504573,2238,136,1
5,Croton Loop,40.6487039,-73.8845918,2146,131,1
2,Croton Loop,40.6487039,-73.8845918,2147,131,1
5,160th St,40.7338809,-73.8078846,2110,128,1
4,Amsterdam Ave,40.8467328,-73.9318876,2008,121,1
3,W 238th St,40.8889687,-73.9125474,2245,137,1
2,W 44th St,40.7609247,-73.9945259,2202,133,1
1,Nagle Ave,40.8616121,-73.924274,2037,124,1
5,W 52nd St,40.7635851,-73.9852995,2053,126,1
3,Hughes Ave,40.848933,-73.89046,2025,123,1
4,E 21st St,40.611129,-73.9525774,2026,123,1
3,Odell St,40.837073,-73.85437,2135,130,1
4,W 143rd St,40.8191141,-73.9371126,2203,133,1
3,Madison St,40.703974,-73.904124,1850,114,1
2,41st Ave,40.7637566,-73.7700427,1922,117,1
4,57th Ave,40.7343492,-73.8735708,2111,128,1
2,Halsey St,40.69607,-73.9050185,2235,136,1
2,Pine St,40.6742694,-73.870679,2010,122,1
3,41st Ave,40.7637566,-73.7700427,2038,124,1
5,W 34th St,40.7497396,-73.987639,1956,120,1
5,Woodycrest Ave,40.838685,-73.922977,2131,130,1
2,Elton Ave,40.8237254,-73.9118845,2007,121,1
2,St Johns Pl,40.6698138,-73.9167897,2226,135,1
1,Woodruff Ave,40.654457,-73.960783,2032,124,1
2,W 174th St,40.84718,-73.921345,2045,125,1
2,W 51st St,40.7603124,-73.9794674,2134,130,1
4,Chestnut Ave,40.617302,-73.963754,2037,124,1
4,Hughes Ave,40.848933,-73.89046,2011,122,1
5,W 53rd St,40.7622003,-73.9800788,2146,131,1
3,College Point Blvd,40.7627837,-73.8355757,1855,114,1
2,Bainbridge Ave,40.881076,-73.878487,2230,136,1
2,106th St,40.676081,-73.8338,2047,125,1
3,Bedford Park Blvd,40.8726864,-73.887491,2027,123,1
3,Alexander Ave,40.8130337,-73.9229555,2110,128,1
2,E 197th St,40.854652,-73.8327015,2240,137,1
2,38th Ave,40.749899,-73.868826,1936,118,1
2,St Nicholas Ave,40.8316081,-73.9411272,2132,130,1
3,W 181st St,40.8489559,-73.9328625,2205,133,1
5,E Tremont Ave,40.8416938,-73.8434859,2121,129,1
3,E Tremont Ave,40.8416938,-73.8434859,2008,121,1
4,Kent Ave,40.6991108,-73.9604263,2146,131,1
3,6th Ave,40.7497204,-73.987817,2122,129,1
4,W 205th St,40.8624368,-73.9181165,2039,124,1
5,6th Ave,40.7497204,-73.987817,2053,126,1
2,White Plains Rd,40.8421201,-73.8649883,2126,129,1
4,W 132nd St,40.8133636,-73.9450358,2212,134,1
5,W 15th St,40.574793,-73.98215,2111,128,1
3,Vine St,40.701595,-73.99331,2036,124,1
4,14th Ave,40.611038,-74.013482,2048,125,1
4,116th St,40.6934234,-73.8305536,2231,136,1
3,Bronxdale Ave,40.8516256,-73.8678673,2019,122,1
5,5th Ave,40.801971,-73.945508,2206,133,1
3,W 15th St,40.574793,-73.98215,2248,137,1
1,W 26th St,40.7445213,-73.9907355,2146,131,1
5,E 179th St,40.845743,-73.887836,2041,125,1
2,5th St,40.6229092,-74.1907603,2234,136,1
2,St Nicholas Ave,40.8316081,-73.9411272,2154,132,1
4,Garfield Pl,40.6725042,-73.9774407,2147,131,1
4,Hoffman St,40.856875,-73.887702,2010,122,1
3,83rd St,40.704821,-73.865872,2127,129,1
2,5th St,40.6229092,-74.1907603,2206,133,1
2,W 179th St,40.8496954,-73.9408385,2039,124,1
3,Bronx Blvd,40.8779562,-73.8695849,2103,127,1
5,Eastchester Rd,40.8767087,-73.8461872,2237,136,1
3,3rd Ave,40.8043853,-73.9353347,2108,127,1
3,54th Ave,40.733005,-73.880826,2154,132,1
2,4th Ave,40.7366387,-73.9890162,2132,130,1
5,57th Ave,40.7343492,-73.8735708,2114,128,1
2,Reiss Pl,40.8581786,-73.8709694,2153,132,1
2,Teller Ave,40.830936,-73.912395,2207,133,1
3,Hillside Ave,40.7210961,-73.7593749,1952,120,1
4,E 156th St,40.81737,-73.902579,2116,128,1
5,Eastern Pky,40.6716077,-73.9624286,2104,127,1
1,Dyckman St,40.8608726,-73.92533,2156,132,1
2,160th St,40.7338809,-73.8078846,1959,120,1
2,Washington Ave,40.86038,-73.888886,2153,132,1
2,E 7th St,40.593478,-73.9632624,2124,129,1
5,Webster Ave,40.869266,-73.8802225,2141,131,1
4,Abingdon Rd,40.707038,-73.831667,2228,135,1
1,Hughes Ave,40.848933,-73.89046,2120,129,1
4,Hornell Loop,40.644744,-73.8784252,2243,137,1
4,Queens Blvd,40.7127672,-73.8275685,1944,119,1
3,90th St,40.75053,-73.876876,2025,123,1
2,Hampton Ave,40.5800972,-73.9458253,2204,133,1
3,Bergen St,40.6739907,-73.9111485,2027,123,1
3,Amsterdam Ave,40.8467328,-73.9318876,2011,122,1
4,W 15th St,40.574793,-73.98215,2029,123,1
5,Emmons Ave,40.5830818,-73.9543584,2126,129,1
3,Amsterdam Ave,40.8467328,-73.9318876,2223,135,1
5,Edgecombe Ave,40.830292,-73.9402243,2204,133,1
5,St Marks Pl,40.7285734,-73.9875926,2228,135,1
3,10th Ave,40.8637912,-73.9194094,2021,123,1
3,Broadway,40.892084,-73.8971095,2040,125,1
4,Cortelyou Rd,40.6414793,-73.963863,2128,129,1
5,Hillside Ave,40.7210961,-73.7593749,2246,137,1
4,Convent Ave,40.8239713,-73.9467212,2037,124,1
5,104th St,40.684239,-73.838078,2016,122,1
2,Walton Ave,40.83644,-73.918412,2019,122,1
3,Broadway,40.892084,-73.8971095,2213,134,1
4,W 48th St,40.7604965,-73.9857348,2218,134,1
4,Southern Blvd,40.8331369,-73.8902783,2203,133,1
3,9th Ave,40.862394,-73.918015,2206,133,1
5,7th Ave,40.7630704,-73.9820256,2120,129,1
4,160th St,40.7338809,-73.8078846,2015,122,1
3,8th Ave,40.74658,-73.9975495,2023,123,1
3,St Marks Pl,40.7285734,-73.9875926,2047,125,1
5,E 6th St,40.7220515,-73.9758144,2057,126,1
4,Steinway St,40.7605248,-73.9177499,2208,133,1
3,10th Ave,40.8637912,-73.9194094,2059,126,1
2,E 6th St,40.7220515,-73.9758144,2130,130,1
1,W 43rd St,40.7567697,-73.9865988,2157,132,1
4,E 6th St,40.7220515,-73.9758144,2148,131,1
4,Hawthorne St,40.657661,-73.95322,2134,130,1
5,E 229th St,40.8844592,-73.8425564,2126,129,1
2,Avenue H,40.6322787,-73.9373977,2058,126,1
2,E 196th St,40.8678768,-73.8929982,2213,134,1
1,41st Ave,40.7637566,-73.7700427,1907,115,1
4,Atlantic Ave,40.675959,-73.9044359,2040,125,1
5,W 44th St,40.7609247,-73.9945259,2213,134,1
5,Lenox Ave,40.7664366,-73.9590168,2221,135,1
2,West End Ave,40.7764553,-73.9869457,2129,129,1
4,E 87th St,40.648106,-73.918515,2136,130,1
4,W 34th St,40.7497396,-73.987639,2214,134,1
2,7th Ave,40.7630704,-73.9820256,2201,133,1
2,57th Ave,40.7343492,-73.8735708,2129,129,1
3,Clay Ave,40.8396776,-73.9057457,2130,130,1
1,5th Ave,40.801971,-73.945508,2159,132,1
2,Heath Ave,40.8716959,-73.9053475,1859,114,1
3,Metropolitan Ave,40.7140735,-73.9547586,2138,130,1
3,Voorhies Ave,40.587827,-73.934668,2028,123,1
2,30th Ave,40.7666967,-73.9215824,2114,128,1
2,Hunt Ave,40.845415,-73.865194,2205,133,1
5,Steinway St,40.7605248,-73.9177499,2111,128,1
3,White Plains Rd,40.8421201,-73.8649883,2053,126,1
5,Broadway,40.892084,-73.8971095,2152,132,1
2,E 206th St,40.8749783,-73.8792948,2237,136,1
5,Villa Ave,40.6251458,-74.1450491,2248,137,1
1,104th St,40.684239,-73.838078,2054,126,1
3,W 132nd St,40.8133636,-73.9450358,2013,122,1
2,E 172nd St,40.840197,-73.910094,2103,127,1
4,Rogers Ave,40.656081,-73.953048,2116,128,1
4,W 51st St,40.7603124,-73.9794674,2128,129,1
3,University Ave,40.8469863,-73.9205513,2246,137,1
2,Farragut Pl,40.6374413,-73.9466129,2140,131,1
3,Walton Ave,40.83644,-73.918412,2230,136,1
5,E Tremont Ave,40.8416938,-73.8434859,2205,133,1
5,W 175th St,40.845434,-73.93657,2202,133,1
4,165th St,40.701366,-73.791869,1950,120,1
5,Perry Ave,40.5769115,-73.9370334,2127,129,1
1,60th St,40.696799,-73.896772,2222,135,1
5,Benedict Ave,40.622896,-74.126156,2230,136,1
3,E 28th St,40.6073147,-73.9451569,2159,132,1
5,Alexander Ave,40.8130337,-73.9229555,2138,130,1
4,Neptune Ave,40.5770026,-74.0023361,2136,130,1
5,W 31st St,40.7471998,-73.9875144,2213,134,1
4,Freeport Loop,40.6456071,-73.8813539,2238,136,1
4,W 113th St,40.8039909,-73.96031,2006,121,1
4,Tenney Pl,40.848423,-73.919241,2046,125,1
5,St Marks Pl,40.7285734,-73.9875926,2128,129,1
5,University Ave,40.8469863,-73.9205513,2135,130,1
2,W 46th St,40.7625283,-73.9944373,2012,122,1
4,4th Ave,40.7366387,-73.9890162,2052,126,1
3,W 15th St,40.574793,-73.98215,2044,125,1
4,E 110th St,40.791772,-73.937242,2017,122,1
5,University Ave,40.8469863,-73.9205513,2213,134,1
3,Walton Ave,40.83644,-73.918412,2018,122,1
2,St Johns Pl,40.6698138,-73.9167897,2230,136,1
3,153rd St,40.6951014,-73.7999838,2012,122,1
3,Marcy Ave,40.712266,-73.955476,2013,122,1
1,Sedgwick Ave,40.83076,-73.9319244,2049,125,1
2,Eastchester Rd,40.8767087,-73.8461872,2243,137,1
3,Bedford Park Blvd,40.8726864,-73.887491,2035,124,1
5,Baltic St,40.683665,-73.9886637,1852,114,1
4,Amsterdam Ave,40.8467328,-73.9318876,2001,121,1
5,6th Ave,40.7497204,-73.987817,2158,132,1
4,E 110th St,40.791772,-73.937242,2008,121,1
4,N 5th St,40.7141762,-73.9547917,2159,132,1
3,Convent Ave,40.8239713,-73.9467212,2038,124,1
4,E 197th St,40.854652,-73.8327015,1948,119,1
5,E 10th St,40.6053075,-73.9625623,2057,126,1
4,127th Ave,40.6783813,-73.7736439,2100,127,1
3,Morris Park Ave,40.8467876,-73.8591616,2036,124,1
1,W 26th St,40.7445213,-73.9907355,2157,132,1
2,Ocean Ave,40.5835902,-73.9483933,2136,130,1
4,Broadway,40.892084,-73.8971095,2150,132,1
4,Kent Ave,40.6991108,-73.9604263,2243,137,1
2,Barker Ave,40.863246,-73.869374,2026,123,1
3,Rochester Ave,40.6686641,-73.92835,2228,135,1
2,Lenox Ave,40.7664366,-73.9590168,2104,127,1
3,E 68th St,40.6199999,-73.9114888,2024,123,1
4,E 7th St,40.593478,-73.9632624,2139,130,1
2,W 3rd St,40.586718,-73.97234,2049,125,1
2,Garden St,40.611736,-74.123101,2113,128,1
5,E 236th St,40.8946213,-73.8531093,2230,136,1
5,E 28th St,40.6073147,-73.9451569,2154,132,1
5,E Tremont Ave,40.8416938,-73.8434859,1953,120,1
2,Clermont Ave,40.5051812,-74.2297015,2128,129,1
5,3rd Ave,40.8043853,-73.9353347,2054,126,1
1,E 150th St,40.8150666,-73.9130445,1917,116,1
3,63rd Ave,40.7231519,-73.8721722,2142,131,1
3,90th St,40.75053,-73.876876,2114,128,1
4,Grand Ave,40.7303619,-73.8868521,2155,132,1
5,Center Blvd,40.7403076,-73.9609066,2046,125,1
5,Greenwich St,40.7156024,-74.0111062,1923,117,1
2,10th Ave,40.8637912,-73.9194094,2216,134,1
2,Dorchester Rd,40.638851,-73.964925,2125,129,1
5,Clinton Ave,40.7267875,-73.8957154,2237,136,1
3,W 116th St,40.8033422,-73.9528035,2028,123,1
4,Barker Ave,40.863246,-73.869374,2142,131,1
2,W 116th St,40.8033422,-73.9528035,2114,128,1
3,Winthrop St,40.6570982,-73.9502145,2245,137,1
5,70th Ave,40.7286207,-73.8257796,2022,123,1
3,W 48th St,40.7604965,-73.9857348,2159,132,1
5,E 186th St,40.857001,-73.891679,2008,121,1
2,Benedict Ave,40.622896,-74.126156,2152,132,1
2,4th Ave,40.7366387,-73.9890162,2020,123,1
4,E 213th St,40.876926,-73.856782,2117,128,1
2,W 145th St,40.8264439,-73.9504573,2053,126,1
2,Cruger Ave,40.871423,-73.866145,2121,129,1
1,Lee Ave,40.6106992,-74.0316899,2214,134,1
2,E 201st St,40.869871,-73.882819,2034,124,1
3,Amsterdam Ave,40.8467328,-73.9318876,2003,121,1
5,160th St,40.7338809,-73.8078846,2015,122,1
5,Austin St,40.706002,-73.8259549,2101,127,1
5,W 48th St,40.7604965,-73.9857348,2233,136,1
1,Main St,40.7569493,-73.8289256,2050,126,1
3,93rd St,40.750413,-73.874012,2047,125,1
1,Kent Ave,40.6991108,-73.9604263,2214,134,1
4,E 7th St,40.593478,-73.9632624,2033,124,1
2,West End Ave,40.7764553,-73.9869457,2236,136,1
2,E 174th St,40.8368031,-73.8860626,1852,114,1
2,7th Ave,40.7630704,-73.9820256,2105,127,1
5,Fish Ave,40.875875,-73.849884,2109,127,1
5,Edgecombe Ave,40.830292,-73.9402243,2112,128,1
5,W 15th St,40.574793,-73.98215,2235,136,1
3,W 154th St,40.8308881,-73.9434627,2057,126,1
2,Baxter Ave,40.74704,-73.882989,2101,127,1
4,4th Ave,40.7366387,-73.9890162,2032,124,1
3,Roosevelt Ave,40.746238,-73.897224,2055,126,1
3,Johnson Ave,40.8836953,-73.9103774,1852,114,1
2,W 180th St,40.849145,-73.935471,2053,126,1
3,Rhinelander Ave,40.847042,-73.8684647,2240,137,1
3,W 146th St,40.8222816,-73.9385175,2212,134,1
2,W 148th St,40.824757,-73.940515,2038,124,1
3,Broadway,40.892084,-73.8971095,2149,131,1
3,Richman Plz,40.8520404,-73.922482,2129,129,1
4,Broadway,40.892084,-73.8971095,2033,124,1
4,W 48th St,40.7604965,-73.9857348,1955,120,1
4,W 95th St,40.7939922,-73.9723054,2112,128,1
5,5th Ave,40.801971,-73.945508,2035,124,1
2,E 12th St,40.5831065,-73.9573412,2247,137,1
3,80th St,40.6793809,-73.8589845,2212,134,1
4,14th Ave,40.611038,-74.013482,2049,125,1
4,Webster Ave,40.869266,-73.8802225,2105,127,1
