Day,Street Name,Latitude,Longitude,Violation Time,Zone,Parking Violation
6,Rochester Ave,40.6686641,-73.92835,0746,47,1
6,187th Pl,40.712468,-73.772808,0733,46,1
6,Jerome Ave,40.8446726,-73.9145136,0746,47,1
6,Utica Ave,40.679347,-73.9308408,0746,47,1
6,McDonald Ave,40.595256,-73.973476,0755,48,1
0,Baychester Ave,40.8772758,-73.8363967,0842,53,1
6,E 10th St,40.6053075,-73.9625623,0824,51,1
6,Lydig Ave,40.855433,-73.855351,0742,47,1
6,33rd St,40.7463947,-73.9818293,0816,50,1
6,Seneca Ave,40.7028171,-73.9076756,0754,48,1
6,31st Ave,40.758613,-73.8919252,0741,47,1
6,Jamaica Ave,40.6774489,-73.8985116,0842,53,1
0,E 190th St,40.863329,-73.899198,0737,46,1
6,Cypress Ave,40.5786806,-74.0059581,0736,46,1
6,41st Rd,40.7555552,-73.8333316,0708,43,1
6,Grand Concourse,40.8791041,-73.8845682,0757,48,1
0,Riverside Dr,40.8424364,-73.9440228,0755,48,1
6,W 117th St,40.8039386,-73.9521145,0837,52,1
6,30th Ave,40.7666967,-73.9215824,0737,46,1
6,Redfern Ave,40.6061974,-73.7537434,0807,49,1
6,31st St,40.7681197,-73.920358,0838,52,1
6,Queens Blvd,40.7127672,-73.8275685,0736,46,1
6,E 99th St,40.7877699,-73.9494333,0814,50,1
6,Jerome Ave,40.8446726,-73.9145136,0742,47,1
6,Broadway,40.892084,-73.8971095,0806,49,1
6,E Gun Hill Rd,40.871787,-73.8489437,0843,53,1
6,E 204th St,40.8750321,-73.8874687,0813,50,1
6,Park Ave,40.8056738,-73.9384143,0717,44,1
6,Broadway,40.892084,-73.8971095,0823,51,1
0,133rd Ave,40.6753203,-73.8431938,0742,47,1
6,Webster Ave,40.869266,-73.8802225,0744,47,1
6,3rd Ave,40.8043853,-73.9353347,0737,46,1
6,Queens Blvd,40.7127672,-73.8275685,0823,51,1
6,E 47th St,40.7546125,-73.9737345,0812,50,1
6,Tennis Ct,40.648511,-73.961935,0737,46,1
6,W 233rd St,40.8800308,-73.9021057,0845,53,1
6,W 182nd St,40.8498504,-73.933204,0836,52,1
6,W 231st St,40.879418,-73.905793,0807,49,1
6,Jerome Ave,40.8446726,-73.9145136,0809,49,1
0,E 101st St,40.6358306,-73.8867163,0722,45,1
6,Main St,40.7569493,-73.8289256,0821,51,1
6,Fresh Pond Rd,40.7062234,-73.8959256,0743,47,1
6,Morris Park Ave,40.8467876,-73.8591616,0846,53,1
6,Church Ave,40.6492649,-73.9635215,0814,50,1
6,Roosevelt Ave,40.746238,-73.897224,0754,48,1
6,Jamaica Ave,40.6774489,-73.8985116,0737,46,1
6,Webster Ave,40.869266,-73.8802225,0740,47,1
6,St Nicholas Ave,40.8316081,-73.9411272,0739,46,1
6,Greenpoint Ave,40.73036,-73.952507,0808,49,1
6,E 115th St,40.7972005,-73.9403868,0709,43,1
6,133rd St,40.686025,-73.810862,0718,44,1
0,E 95th St,40.650448,-73.911101,0655,42,1
6,E Gun Hill Rd,40.871787,-73.8489437,0823,51,1
6,Westchester Ave,40.829753,-73.873728,0826,51,1
6,3rd Ave,40.8043853,-73.9353347,0746,47,1
6,W 29th St,40.5741385,-73.9951298,0745,47,1
6,Parkside Pl,40.65513345,-73.9616966057971,0823,51,1
6,Morris Park Ave,40.8467876,-73.8591616,0815,50,1
6,Broadway,40.892084,-73.8971095,0740,47,1
6,Bainbridge Ave,40.881076,-73.878487,0820,51,1
6,3rd Ave,40.8043853,-73.9353347,0817,50,1
6,Broadway,40.892084,-73.8971095,0736,46,1
6,Broadway,40.892084,-73.8971095,0737,46,1
6,Knickerbocker Ave,40.707786,-73.932072,0815,50,1
6,Metropolitan Oval,40.8383333,-73.86,0843,53,1
6,Avenue H,40.6322787,-73.9373977,0846,53,1
6,Queens Blvd,40.7127672,-73.8275685,0742,47,1
6,59th Ave,40.7194128,-73.9024796,0844,53,1
6,Chestnut St,40.6752054,-73.8734354,0844,53,1
6,W 52nd St,40.7635851,-73.9852995,0828,51,1
6,Lenox Ave,40.7664366,-73.9590168,0806,49,1
6,3rd Ave,40.8043853,-73.9353347,0826,51,1
6,5th Ave,40.801971,-73.945508,0816,50,1
6,Broadway,40.892084,-73.8971095,0736,46,1
6,W 58th St,40.7671189,-73.9817098,0829,51,1
6,Avenue A,40.7701702,-73.9513442,0840,53,1
6,Beach 20th St,40.5965961,-73.754194,0806,49,1
6,Lenox Ave,40.7664366,-73.9590168,0822,51,1
6,44th St,40.7684672,-73.9070235,0823,51,1
6,Jamaica Ave,40.6774489,-73.8985116,0837,52,1
6,7th Ave,40.7630704,-73.9820256,0849,53,1
6,Hillside Ave,40.7210961,-73.7593749,0755,48,1
6,St Johns Pl,40.6698138,-73.9167897,0820,51,1
6,Morris St,40.706181,-74.0141288,0823,51,1
6,Jamaica Ave,40.6774489,-73.8985116,0842,53,1
6,Crosby Ave,40.845307,-73.831132,0810,50,1
6,Morris Ave,40.8113652,-73.9270455,0822,51,1
6,Fresh Pond Rd,40.7062234,-73.8959256,0814,50,1
0,Hillside Ave,40.7210961,-73.7593749,0718,44,1
6,Havemeyer St,40.712239,-73.957136,0740,47,1
6,Jerome Ave,40.8446726,-73.9145136,0751,48,1
6,Austin St,40.706002,-73.8259549,0809,49,1
0,E 83rd St,40.64316,-73.917952,0738,46,1
6,50th St,40.7622406,-73.9860873,0811,50,1
6,37th Ave,40.7626091,-73.8267626,0822,51,1
6,Lincoln Pl,40.6715444,-73.95766,0736,46,1
6,115th St,40.787889,-73.852489,0729,45,1
6,E 188th St,40.859874,-73.893215,0836,52,1
6,Broadway,40.892084,-73.8971095,0816,50,1
6,Ocean Pky,40.6072315,-73.9675403,0710,44,1
6,St Nicholas Ave,40.8316081,-73.9411272,0751,48,1
6,Broadway,40.892084,-73.8971095,0748,47,1
6,Morris Park Ave,40.8467876,-73.8591616,0839,52,1
6,46th St,40.7566484,-73.9140858,0718,44,1
6,Grand St,40.7181616,-73.9937839,0813,50,1
0,E 101st St,40.6358306,-73.8867163,0757,48,1
6,York Ave,40.7701702,-73.9513442,0747,47,1
6,W 145th St,40.8264439,-73.9504573,0751,48,1
6,48th Ave,40.73844,-73.899869,0839,52,1
6,Washington Ave,40.86038,-73.888886,0835,52,1
6,E Broadway,40.7141222,-73.9901665,0758,48,1
6,Beach 130th St,40.5775569,-73.8499327,0730,46,1
6,Skillman Ave,40.715779,-73.946303,0816,50,1
6,Webster Ave,40.869266,-73.8802225,0752,48,1
6,4th Ave,40.7366387,-73.9890162,0750,48,1
6,18th Ave,40.6296217,-73.9769395,0817,50,1
6,Steinway St,40.7605248,-73.9177499,0755,48,1
6,Archer St,40.837865,-73.863555,0847,53,1
6,3rd Ave,40.8043853,-73.9353347,0813,50,1
6,47th St,40.771362,-73.8998657,0847,53,1
6,Queens Blvd,40.7127672,-73.8275685,0839,52,1
6,Traffic Ave,40.709826,-73.895354,0721,45,1
6,Grand Concourse,40.8791041,-73.8845682,0807,49,1
6,7th Ave,40.7630704,-73.9820256,0709,43,1
0,Ocean Ave,40.5835902,-73.9483933,0709,43,1
6,Manhattan College Pk,40.8884586,-73.9027844037943,0736,46,1
6,McDonald Ave,40.595256,-73.973476,0840,53,1
6,37th Ave,40.7626091,-73.8267626,0811,50,1
6,Broadway,40.892084,-73.8971095,0814,50,1
6,103rd St,40.7991469,-73.9685289,0841,53,1
6,Broadway,40.892084,-73.8971095,0811,50,1
6,Livingston St,40.6887792,-73.9835545,0753,48,1
6,Church Ave,40.6492649,-73.9635215,0811,50,1
6,3rd Ave,40.8043853,-73.9353347,0736,46,1
6,Bedford Park Blvd,40.8726864,-73.887491,0808,49,1
6,Corona Ave,40.7408244,-73.8502865,0808,49,1
6,Fulton St,40.7102369,-74.0078096,0810,50,1
6,Broadway,40.892084,-73.8971095,0737,46,1
6,Queens Blvd,40.7127672,-73.8275685,0814,50,1
6,Creston Ave,40.8503682,-73.9070204,0831,52,1
6,E 25th St,40.7385041,-73.9783927,0841,53,1
6,Eastern Pky,40.6716077,-73.9624286,0811,50,1
0,W 123rd St,40.8094627,-73.953542,0733,46,1
6,Columbus Ave,40.7877937,-73.9712227,0709,43,1
6,W Burnside Ave,40.853943,-73.914675,0814,50,1
6,E 25th St,40.7385041,-73.9783927,0840,53,1
6,Adam Clayton Powell,40.8092175,-73.9474161643606,0811,50,1
0,E 17th St,40.59692,-73.95411,0756,48,1
6,Avenue U,40.599035,-73.954511,0819,50,1
6,85th St,40.730929,-73.877104,0806,49,1
6,3rd Ave,40.8043853,-73.9353347,0738,46,1
6,89th Ave,40.691706,-73.84924,0737,46,1
0,E 172nd St,40.840197,-73.910094,0657,42,1
6,37th Ave,40.7626091,-73.8267626,0811,50,1
6,Jerome Ave,40.8446726,-73.9145136,0740,47,1
6,E 14th St,40.608383,-73.959157,0746,47,1
6,E 95th St,40.650448,-73.911101,0814,50,1
6,Jerome Ave,40.8446726,-73.9145136,0745,47,1
6,Nostrand Ave,40.6803935,-73.949556,0821,51,1
6,37th Ave,40.7626091,-73.8267626,0849,53,1
6,86th St,40.622811,-74.0282979,0839,52,1
0,Bainbridge Ave,40.881076,-73.878487,0719,44,1
6,Avenue N,40.619571,-73.916897,0837,52,1
6,E 16th St,40.595029,-73.954735,0819,50,1
6,W 148th St,40.824757,-73.940515,0714,44,1
6,Nostrand Ave,40.6803935,-73.949556,0807,49,1
0,18th Ave,40.6296217,-73.9769395,0739,46,1
6,Jerome Ave,40.8446726,-73.9145136,0818,50,1
6,Washington Ave,40.86038,-73.888886,0836,52,1
6,Myrtle Ave,40.6969959,-73.9352775,0806,49,1
6,21st Ave,40.7704203,-73.8937505,0838,52,1
6,Crosby Ave,40.845307,-73.831132,0738,46,1
6,E Gun Hill Rd,40.871787,-73.8489437,0810,50,1
6,Queens Blvd,40.7127672,-73.8275685,0820,51,1
6,Hillside Ave,40.7210961,-73.7593749,0753,48,1
6,W 57th St,40.766287,-73.981848,0806,49,1
6,Roosevelt Ave,40.746238,-73.897224,0843,53,1
6,E 208th St,40.878011,-73.880525,0806,49,1
6,Broadway,40.892084,-73.8971095,0810,50,1
6,89th Ave,40.691706,-73.84924,0840,53,1
6,Adam Clayton Powell,40.8092175,-73.9474161643606,0814,50,1
6,Roosevelt Ave,40.746238,-73.897224,0745,47,1
6,Fresh Pond Rd,40.7062234,-73.8959256,0811,50,1
6,47th Ave,40.750565,-73.794727,0815,50,1
6,Erskine Pl,40.8607129,-73.8231886,0829,51,1
6,W 162nd St,40.835196,-73.938489,0658,42,1
6,W 145th St,40.8264439,-73.9504573,0747,47,1
6,York Ave,40.7701702,-73.9513442,0808,49,1
6,Broadway,40.892084,-73.8971095,0738,46,1
6,Riverdale Ave,40.9101111,-73.9032268,0806,49,1
0,Jerome Ave,40.8446726,-73.9145136,0824,51,1
0,W 146th St,40.8222816,-73.9385175,0707,43,1
6,Forest Ave,40.7043972,-73.903074,0807,49,1
6,Metropolitan Ave,40.7140735,-73.9547586,0813,50,1
0,E 126th St,40.8033194,-73.9327945,0845,53,1
6,Greenpoint Ave,40.73036,-73.952507,0812,50,1
6,Broadway,40.892084,-73.8971095,0843,53,1
6,W 232nd St,40.8845382,-73.9145901,0839,52,1
0,W 122nd St,40.8070115,-73.949671,0737,46,1
6,21st Ave,40.7704203,-73.8937505,0838,52,1
6,3rd Ave,40.8043853,-73.9353347,0740,47,1
6,3rd Ave,40.8043853,-73.9353347,0740,47,1
6,Westchester Ave,40.829753,-73.873728,0741,47,1
6,89th Ave,40.691706,-73.84924,0812,50,1
6,E 14th St,40.608383,-73.959157,0736,46,1
6,Fulton St,40.7102369,-74.0078096,0736,46,1
6,Graham Ave,40.7145231,-73.9443875,0811,50,1
6,Gouverneur Ave,40.593307,-73.800717,0739,46,1
6,Jerome Ave,40.8446726,-73.9145136,0746,47,1
6,Fulton St,40.7102369,-74.0078096,0737,46,1
6,W 146th St,40.8222816,-73.9385175,0729,45,1
6,Nostrand Ave,40.6803935,-73.949556,0744,47,1
6,Hugh J Grant Cir,40.8334217,-73.861426,0814,50,1
6,Roosevelt Ave,40.746238,-73.897224,0755,48,1
6,3rd Ave,40.8043853,-73.9353347,0819,50,1
6,Ascan Ave,40.711062,-73.845169,0839,52,1
6,Pelham Pkwy S,40.8573652,-73.8458767,0811,50,1
6,Manhattan Ave,40.8043463,-73.9572939,0814,50,1
6,Jerome Ave,40.8446726,-73.9145136,0744,47,1
6,5th Ave,40.801971,-73.945508,0839,52,1
0,5th Ave,40.801971,-73.945508,0727,45,1
6,Eastern Pky,40.6716077,-73.9624286,0839,52,1
6,Metropolitan Ave,40.7140735,-73.9547586,0812,50,1
6,88th Ave,40.6903749,-73.8592119,0750,48,1
0,Ross St,40.704786,-73.961854,0749,47,1
6,Church Ave,40.6492649,-73.9635215,0739,46,1
6,Hillside Ave,40.7210961,-73.7593749,0740,47,1
6,W 45th St,40.7617881,-73.9946308,0806,49,1
0,W 135th St,40.8141401,-73.9409365,0728,45,1
6,Skillman Ave,40.715779,-73.946303,0810,50,1
6,E 32nd St,40.6312398,-73.9455673,0734,46,1
6,St Johns Pl,40.6698138,-73.9167897,0810,50,1
6,Farrington St,40.766745,-73.832714,0840,53,1
0,Westbury Ct,40.6567388,-73.9603124,0719,44,1
6,Washington Ave,40.86038,-73.888886,0838,52,1
0,Inwood Ave,40.843822,-73.916556,0759,48,1
6,Grand St,40.7181616,-73.9937839,0812,50,1
6,E Gun Hill Rd,40.871787,-73.8489437,0847,53,1
6,Livonia Ave,40.6637042,-73.9004923,0811,50,1
6,Hillside Ave,40.7210961,-73.7593749,0806,49,1
6,Woodhaven Blvd,40.7334068,-73.8696415,0832,52,1
6,Eastern Pky,40.6716077,-73.9624286,0806,49,1
6,Lenox Ave,40.7664366,-73.9590168,0815,50,1
6,5th Ave,40.801971,-73.945508,0752,48,1
6,84th St,40.6623278,-73.8493645,0848,53,1
6,Grand Concourse,40.8791041,-73.8845682,0812,50,1
0,W 180th St,40.849145,-73.935471,0728,45,1
6,W 181st St,40.8489559,-73.9328625,0847,53,1
6,Hillside Ave,40.7210961,-73.7593749,0739,46,1
6,W 54th St,40.7639826,-73.9823527,0818,50,1
6,54th St,40.74686,-73.909675,0840,53,1
6,W 231st St,40.879418,-73.905793,0807,49,1
6,46th St,40.7566484,-73.9140858,0849,53,1
6,St Nicholas Ave,40.8316081,-73.9411272,0833,52,1
6,Westchester Ave,40.829753,-73.873728,0815,50,1
0,E 170th St,40.8377244,-73.9110989,0734,46,1
6,Queens Blvd,40.7127672,-73.8275685,0719,44,1
6,Main St,40.7569493,-73.8289256,0837,52,1
6,Marlborough Rd,40.6412239,-73.9644316,0818,50,1
6,Stanton St,40.7217186,-73.9893607,0807,49,1
6,E Tremont Ave,40.8416938,-73.8434859,0739,46,1
6,Decatur Ave,40.610544,-74.14501,0806,49,1
6,Main St,40.7569493,-73.8289256,0807,49,1
6,Columbus Ave,40.7877937,-73.9712227,0719,44,1
6,Eastern Pky,40.6716077,-73.9624286,0819,50,1
6,Myrtle Ave,40.6969959,-73.9352775,0838,52,1
6,Nostrand Ave,40.6803935,-73.949556,0844,53,1
6,94th St,40.7680828,-73.8762441,0846,53,1
0,Freeport Loop,40.6456071,-73.8813539,0726,45,1
6,E 206th St,40.8749783,-73.8792948,0714,44,1
0,W 52nd St,40.7635851,-73.9852995,0814,50,1
6,E 17th St,40.59692,-73.95411,0812,50,1
6,E 69th St,40.6203939,-73.910542,0810,50,1
6,Grand Concourse,40.8791041,-73.8845682,0810,50,1
6,Morris Ave,40.8113652,-73.9270455,0818,50,1
6,5th Ave,40.801971,-73.945508,0819,50,1
6,Goulden Ave,40.8762307,-73.8935672,0828,51,1
6,Morgan Ave,40.7259565,-73.9397879,0711,44,1
6,Grand Concourse,40.8791041,-73.8845682,0742,47,1
6,Fulton St,40.7102369,-74.0078096,0743,47,1
6,Webster Ave,40.869266,-73.8802225,0825,51,1
6,5th Ave,40.801971,-73.945508,0839,52,1
6,W 117th St,40.8039386,-73.9521145,0847,53,1
6,Johnson Ave,40.8836953,-73.9103774,0849,53,1
6,37th Ave,40.7626091,-73.8267626,0837,52,1
6,Westchester Ave,40.829753,-73.873728,0739,46,1
6,Eastern Pky,40.6716077,-73.9624286,0824,51,1
6,W 14th St,40.740883,-74.0052002,0839,52,1
6,Coney Island Ave,40.582634,-73.959993,0809,49,1
6,3rd Ave,40.8043853,-73.9353347,0814,50,1
6,Madison Ave,40.7427202,-73.9866348,0836,52,1
6,164th St,40.7382043,-73.8045817,0743,47,1
6,Jerome Ave,40.8446726,-73.9145136,0838,52,1
6,37th Ave,40.7626091,-73.8267626,0849,53,1
6,5th Ave,40.801971,-73.945508,0820,51,1
6,White Plains Rd,40.8421201,-73.8649883,0807,49,1
6,Jamaica Ave,40.6774489,-73.8985116,0807,49,1
6,W 171st St,40.843223,-73.939177,0737,46,1
6,44th St,40.7684672,-73.9070235,0714,44,1
0,Freeport Loop,40.6456071,-73.8813539,0731,46,1
6,Fresh Pond Rd,40.7062234,-73.8959256,0745,47,1
6,9th Ave,40.862394,-73.918015,0753,48,1
6,Washington Ave,40.86038,-73.888886,0808,49,1
0,Court St,40.6940745,-73.9917825,0706,43,1
6,E 118th St,40.7962897,-73.9320391,0845,53,1
6,New Utrecht Ave,40.616621,-73.999709,0655,42,1
6,W 105th St,40.7997711,-73.9662127,0832,52,1
6,W 149th St,40.8277683,-73.9457415,0758,48,1
6,W 114th St,40.8021629,-73.9540544,0744,47,1
6,1st Pl,40.7061264,-74.0178129,0650,42,1
6,Queens Blvd,40.7127672,-73.8275685,0842,53,1
6,W 183rd St,40.8523449,-73.9387583,0736,46,1
6,St Nicholas Ave,40.8316081,-73.9411272,0811,50,1
6,90th St,40.75053,-73.876876,0813,50,1
6,Jamaica Ave,40.6774489,-73.8985116,0736,46,1
6,White Plains Rd,40.8421201,-73.8649883,0810,50,1
6,5th Ave,40.801971,-73.945508,0751,48,1
6,St Nicholas Ave,40.8316081,-73.9411272,0751,48,1
6,5th Ave,40.801971,-73.945508,0822,51,1
6,Adam Clayton Powell,40.8092175,-73.9474161643606,0817,50,1
6,Metropolitan Ave,40.7140735,-73.9547586,0819,50,1
6,Austin St,40.706002,-73.8259549,0841,53,1
6,St Nicholas Ave,40.8316081,-73.9411272,0822,51,1
6,W 124th St,40.8057884,-73.9428603,0808,49,1
6,Jamaica Ave,40.6774489,-73.8985116,0742,47,1
6,Main St,40.7569493,-73.8289256,0819,50,1
6,E Broadway.,40.7141222,-73.9901665,0806,49,1
0,E 70th St,40.620864,-73.909819,0830,52,1
6,148th St,40.6958553,-73.8020302,0848,53,1
6,37th Ave,40.7626091,-73.8267626,0836,52,1
6,W 145th St,40.8264439,-73.9504573,0743,47,1
